
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020728                       # Number of seconds simulated (Second)
simTicks                                  20728491500                       # Number of ticks simulated (Tick)
finalTick                                 20728491500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    303.39                       # Real time elapsed on the host (Second)
hostTickRate                                 68323458                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     803308                       # Number of bytes of host memory used (Byte)
simInsts                                     21343836                       # Number of instructions simulated (Count)
simOps                                       39396425                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70352                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     129855                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         41456984                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        46257365                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    19357                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       44438136                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    934                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6880256                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10428663                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               19339                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            39125480                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.135785                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.700257                       # Number of insts issued each cycle (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     73.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead      8360692     18.81%     92.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite      3453670      7.77%     99.84% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead        70922      0.16%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite           76      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       44438136                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.071910                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              161041                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.003624                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                126428004                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                52342379                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        42940689                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   1735722                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                   815047                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses           815001                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    43624041                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                       920719                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                          44122410                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       8287019                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                    315725                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                           11687702                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        4132200                       # Number of branches executed (Count)
system.cpu.numStoreInsts                      3400683                       # Number of stores executed (Count)
system.cpu.numRate                           1.064294                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                          758811                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                         2331504                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                    21343836                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      39396425                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.942340                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.942340                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.514843                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.514843                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   55446128                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  33015998                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                     1452597                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                     673182                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                    20101217                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                   13657325                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                  20325476                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       18                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        8813102                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       3676656                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads      1298395                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       198086                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 4848939                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           3659071                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect            248338                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              2643007                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 2587056                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.978831                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                  341313                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                684                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups          160383                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits             159741                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              642                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          157                       # Number of mispredicted indirect branches. (Count)
system.cpu.branchPred.loop_predictor.correct      2524752                       # Number of times the loop predictor is the provider and the prediction is correct (Count)
system.cpu.branchPred.loop_predictor.wrong       327682                       # Number of times the loop predictor is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.longestMatchProviderCorrect      1165926                       # Number of times TAGE Longest Match is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.altMatchProviderCorrect        41336                       # Number of times TAGE Alt Match is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.bimodalAltMatchProviderCorrect          905                       # Number of times TAGE Alt Match is the bimodal and it is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.bimodalProviderCorrect      1480754                       # Number of times there are no hits on the TAGE tables and the bimodal prediction is correct (Count)
system.cpu.branchPred.tage.longestMatchProviderWrong       106728                       # Number of times TAGE Longest Match is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.altMatchProviderWrong        28050                       # Number of times TAGE Alt Match is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.bimodalAltMatchProviderWrong          352                       # Number of times TAGE Alt Match is the bimodal and it is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.bimodalProviderWrong          896                       # Number of times there are no hits on the TAGE tables and the bimodal prediction is wrong (Count)
system.cpu.branchPred.tage.altMatchProviderWouldHaveHit        34178                       # Number of times TAGE Longest Match is the provider, the prediction is wrong and Alt Match prediction was correct (Count)
system.cpu.branchPred.tage.longestMatchProviderWouldHaveHit        15384                       # Number of times TAGE Alt Match is the provider, the prediction is wrong and Longest Match prediction was correct (Count)
system.cpu.branchPred.tage.longestMatchProvider::0            0                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::1       397154                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::2       203454                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::3       329298                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::4       224288                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::5        63212                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::6        38602                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::7         9402                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::8        10021                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::9        28382                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::10        17282                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::11        11045                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::12         9900                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.altMatchProvider::0       736204                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::1        46829                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::2       207575                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::3       211863                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::4        51586                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::5        22871                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::6        13961                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::7         2834                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::8        13780                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::9        16239                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::10        10997                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::11         7301                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::12            0                       # TAGE provider for alt match (Count)
system.cpu.commit.commitSquashedInsts         6331088                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              18                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts            195083                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     38223817                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.030677                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     1.780495                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0        24597618     64.35%     64.35% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         4554798     11.92%     76.27% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2         2376354      6.22%     82.48% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3         2661062      6.96%     89.45% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          813698      2.13%     91.58% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          470781      1.23%     92.81% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6         2749506      7.19%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            6                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total     38223817                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted             21343836                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               39396425                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     9984452                       # Number of memory references committed (Count)
system.cpu.commit.loads                       6778153                       # Number of loads committed (Count)
